crime,facilities,Parks,Calculations:
Mt. Oliver Neighborhood 2,Perry South 27,Squirrel Hill South 8,allegheny center
Troy Hill-Herrs Island 6,Homewood North 23,Beechview 5,5+12+ 84
Mt. Oliver Boro 18,Homewood South 23,South Side Slopes 5,33.333
Central Northside 23,Homewood West 23,Allegheny Center 4,Squirrel Hill S
Regent Square 36,Central North Side 21,Highland Park 4,2+11+72
Ridgemont 37,Manchester 19,Sheraden 4,85
New Homestead 39,Perry North 19,Beltzhoover 4,
Swisshelm Park 42,Shadland Halls Grove 19,Crawford-Roberts 3,Highland Park
Chartiers City 44,Squirrel Hill - North of Forbes 19,Hazelwood 3,6+37+60
East Carnegie 48,Squirrel Hill - South of Forbes 19,East Liberty 3,34.444
St. Clair 53,Allegheny Center 17,Upper Lawrenceville 3,Squirrel Hill N
Outside County 55,Brighton Heights 16,South Oakland 3,117
Outside State 64,Garfield 16,Elliott 3,
Summer Hill 74,Allegheny West 15,Carrick 3,Beechview
Oakwood 80,California Ave 15,Mount Washington 3,3+28+83
Golden Triangle/Civic Arena 83,Hazelwood-Glenwood-Glen Hazel 15,Central Northside 2,
Hays 118,East Liberty 14,South Side Flats 2,Beltzhover
Fairywood 122,Mount Washington - Duquesne Heights 14,Brighton Heights 2,8+56+62
Mount Oliver 123,Bloomfield 13,Brookline 2,
Windgap 123,Larimer 13,Lincoln-Lemington-Belmar 2,
Allegheny West 127,Lower Lawrenceville 13,Troy Hill 2,
Arlington Heights 153,Northview Heights 13,Crafton Heights 2,
Polish Hill 162,Southside Flats 13,Garfield 2,
Glen Hazel 164,The Strip 13,Greenfield 2,
Friendship 169,Troy Hill 13,Morningside 2,
Morningside 185,Upper Lawrenceville 13,Lincoln Place 2,
Upper Lawrenceville 187,Beechview 12,Manchester 2,
Duquesne Heights 187,Harpen Hilltop 12,Marshall-Shadeland 2,
Esplen 198,Lawrenceville 12,Bloomfield 2,
Spring Garden 213,Lower Oakland 12,Bedford Dwellings 1,
Stanton Heights 219,Point Breeze 12,Lower Lawrenceville 1,
Westwood 222,Spring Hill 12,Banksville 1,
Lincoln Place 222,Brookline 11,Homewood North 1,
Bon Air 261,Carrick 11,Bon Air 1,
Lower Lawrenceville 264,East North Side 11,Central Oakland 1,
Point Breeze North 279,Highland Park 11,Spring Garden 1,
West End 281,Lincoln-Leminton-Belmar 11,Windgap 1,
Squirrel Hill North 285,Middle Hill 11,Westwood 1,
Banksville 288,South Oakland 11,Perry South 1,
Terrace Village 292,The Bluff 11,Homewood West 1,
South Shore 294,Crafton Heights - Westwood - Oakwood 10,Strip District 1,
Point Breeze 297,Greenfield 10,Stanton Heights 1,
Arlington 302,Polish Hill 10,West Oakland 1,
California-Kirkbride 304,Shadyside 10,East Carnegie 1,
Outside City 309,Terrace Village 10,Duquesne Heights 1,
West Oakland 312,Bedford Dwellings 9,Esplen 1,
Overbrook 321,East Brookline - Overbrook 9,Fairywood 1,
South Oakland 346,Elliot 9,Fineview 1,
Upper Hill 364,Morningside 9,Regent Square 1,
Central Lawrenceville 425,North Oakland 9,Allentown 1,
Troy Hill 427,Sheraton Chartiers 9,Hays 1,
North Oakland 434,West End Valley 9,Terrace Village 1,
Chateau 448,East Hills 8,Larimer 1,
Manchester 459,Friendship 8,Central Lawrenceville 1,
Beltzhoover 489,Regent Square 8,Shadyside 1,
Strip District 492,Southside Slopes 8,Oakwood 1,
Central Oakland 512,Stanton Heights 8,Perry North 1,
Greenfield 531,Upper Hill 8,Upper Hill 1,
Highland Park 549,31st Ward 7,New Homestead 1,
Perry North 585,Arlington Heights 7,Spring Hill-City View 1,
Crafton Heights 587,Beltzhoover 7,Swisshelm Park 1,
Elliott 650,East Carnegie 7,Bluff 1,
Bedford Dwellings 656,Knoxville 7,Middle Hill 1,
Northview Heights 697,Arlington 6,West End 1,
Spring Hill-City View 702,Banksville 6,Polish Hill 1,
Garfield 707,Esplen 6,Point Breeze North 1,
Homewood West 753,St. Clair 6,Squirrel Hill North 1,
Fineview 789,Allentown 5,East Allegheny 1,
South Side Slopes 789,Ridgemont - Chicken Hill 5,,
North Shore 796,Swisshelm Park 5,,
Squirrel Hill South 808,Bon Air 4,,
Crawford-Roberts 810,,,
Central North Side 831,,,
Larimer 865,,,
Middle Hill 920,,,
Allentown 930,,,
Shadyside 951,,,
Bloomfield 972,,,
Perry South 1041,,,
Brighton Heights 1095,,,
East Hills 1162,,,
Beechview 1167,,,
Allegheny Center 1228,,,
Sheraden 1258,,,
Knoxville 1302,,,
Lincoln-Lemington-Belmar 1321,,,
Brookline 1346,,,
Hazelwood 1366,,,
Mount Washington 1414,,,
Bluff 1463,,,
Marshall-Shadeland 1491,,,
East Liberty 1856,,,
Homewood North 1932,,,
Homewood South 2049,,,
East Allegheny 2156,,,
Carrick 2301,,,
nan 2438,,,
South Side Flats 3386,,,
Central Business District 4257,,,
